Tasas;Periodo;Total
Tasa global de actividad;2025T4;50,78
Tasa global de actividad;2025T3;51,06
Tasa global de actividad;2025T2;50,82
Tasa global de actividad;2025T1;50,37
Tasa global de actividad;2024T4;50,26
Tasa global de actividad;2024T3;50,68
Tasa global de actividad;2024T2;50,53
Tasa global de actividad;2024T1;50,18
Tasa global de actividad;2023T4;50,33
Tasa global de actividad;2023T3;50,63
Tasa global de actividad;2023T2;50,20
Tasa global de actividad;2023T1;49,83
Tasa global de actividad;2022T4;49,77
Tasa global de actividad;2022T3;50,03
Tasa global de actividad;2022T2;49,84
Tasa global de actividad;2022T1;49,59
Tasa global de actividad;2021T4;49,71
Tasa global de actividad;2021T3;50,10
Tasa global de actividad;2021T2;49,56
Tasa global de actividad;2021T1;48,77
Tasa global de actividad;2020T4;49,17
Tasa global de actividad;2020T3;48,82
Tasa global de actividad;2020T2;46,86
Tasa global de actividad;2020T1;49,05
Tasa global de actividad;2019T4;49,49
Tasa global de actividad;2019T3;49,44
Tasa global de actividad;2019T2;49,43
Tasa global de actividad;2019T1;49,06
Tasa global de actividad;2018T4;49,25
Tasa global de actividad;2018T3;49,33
Tasa global de actividad;2018T2;49,38
Tasa global de actividad;2018T1;49,09
Tasa global de actividad;2017T4;49,34
Tasa global de actividad;2017T3;49,43
Tasa global de actividad;2017T2;49,35
Tasa global de actividad;2017T1;49,29
Tasa global de actividad;2016T4;49,43
Tasa global de actividad;2016T3;49,69
Tasa global de actividad;2016T2;49,78
Tasa global de actividad;2016T1;49,66
Tasa global de actividad;2015T4;49,77
Tasa global de actividad;2015T3;49,83
Tasa global de actividad;2015T2;50,07
Tasa global de actividad;2015T1;49,80
Tasa global de actividad;2014T4;50,06
Tasa global de actividad;2014T3;49,85
Tasa global de actividad;2014T2;49,94
Tasa global de actividad;2014T1;49,77
Tasa global de actividad;2013T4;50,11
Tasa global de actividad;2013T3;50,26
Tasa global de actividad;2013T2;50,25
Tasa global de actividad;2013T1;50,40
Tasa global de actividad;2012T4;50,45
Tasa global de actividad;2012T3;50,73
Tasa global de actividad;2012T2;50,70
Tasa global de actividad;2012T1;50,55
Tasa global de actividad;2011T4;50,54
Tasa global de actividad;2011T3;50,69
Tasa global de actividad;2011T2;50,70
Tasa global de actividad;2011T1;50,48
Tasa global de actividad;2010T4;50,57
Tasa global de actividad;2010T3;50,70
Tasa global de actividad;2010T2;50,75
Tasa global de actividad;2010T1;50,49
Tasa global de actividad;2009T4;50,42
Tasa global de actividad;2009T3;50,48
Tasa global de actividad;2009T2;50,71
Tasa global de actividad;2009T1;50,80
Tasa global de actividad;2008T4;50,79
Tasa global de actividad;2008T3;50,71
Tasa global de actividad;2008T2;50,60
Tasa global de actividad;2008T1;50,28
Tasa global de actividad;2007T4;50,12
Tasa global de actividad;2007T3;50,16
Tasa global de actividad;2007T2;49,94
Tasa global de actividad;2007T1;49,68
Tasa global de actividad;2006T4;49,66
Tasa global de actividad;2006T3;49,56
Tasa global de actividad;2006T2;49,47
Tasa global de actividad;2006T1;49,20
Tasa global de actividad;2005T4;49,02
Tasa global de actividad;2005T3;48,85
Tasa global de actividad;2005T2;48,85
Tasa global de actividad;2005T1;48,44
Tasa global de actividad;2004T4;48,21
Tasa global de actividad;2004T3;48,05
Tasa global de actividad;2004T2;47,72
Tasa global de actividad;2004T1;47,45
Tasa global de actividad;2003T4;47,46
Tasa global de actividad;2003T3;47,37
Tasa global de actividad;2003T2;46,96
Tasa global de actividad;2003T1;46,64
Tasa global de actividad;2002T4;46,37
Tasa global de actividad;2002T3;46,34
Tasa global de actividad;2002T2;45,95
Tasa global de actividad;2002T1;45,59
Tasa global de empleo;2025T4;45,74
Tasa global de empleo;2025T3;45,72
Tasa global de empleo;2025T2;45,59
Tasa global de empleo;2025T1;44,65
Tasa global de empleo;2024T4;44,93
Tasa global de empleo;2024T3;45,01
Tasa global de empleo;2024T2;44,83
Tasa global de empleo;2024T1;44,02
Tasa global de empleo;2023T4;44,39
Tasa global de empleo;2023T3;44,61
Tasa global de empleo;2023T2;44,34
Tasa global de empleo;2023T1;43,16
Tasa global de empleo;2022T4;43,31
Tasa global de empleo;2022T3;43,66
Tasa global de empleo;2022T2;43,52
Tasa global de empleo;2022T1;42,78
Tasa global de empleo;2021T4;43,03
Tasa global de empleo;2021T3;42,73
Tasa global de empleo;2021T2;41,93
Tasa global de empleo;2021T1;40,90
Tasa global de empleo;2020T4;41,24
Tasa global de empleo;2020T3;40,89
Tasa global de empleo;2020T2;39,68
Tasa global de empleo;2020T1;41,99
Tasa global de empleo;2019T4;42,67
Tasa global de empleo;2019T3;42,56
Tasa global de empleo;2019T2;42,50
Tasa global de empleo;2019T1;41,85
Tasa global de empleo;2018T4;42,13
Tasa global de empleo;2018T3;42,15
Tasa global de empleo;2018T2;41,83
Tasa global de empleo;2018T1;40,87
Tasa global de empleo;2017T4;41,18
Tasa global de empleo;2017T3;41,33
Tasa global de empleo;2017T2;40,85
Tasa global de empleo;2017T1;40,05
Tasa global de empleo;2016T4;40,22
Tasa global de empleo;2016T3;40,29
Tasa global de empleo;2016T2;39,82
Tasa global de empleo;2016T1;39,23
Tasa global de empleo;2015T4;39,37
Tasa global de empleo;2015T3;39,28
Tasa global de empleo;2015T2;38,87
Tasa global de empleo;2015T1;37,96
Tasa global de empleo;2014T4;38,19
Tasa global de empleo;2014T3;38,05
Tasa global de empleo;2014T2;37,72
Tasa global de empleo;2014T1;36,87
Tasa global de empleo;2013T4;37,21
Tasa global de empleo;2013T3;37,37
Tasa global de empleo;2013T2;37,16
Tasa global de empleo;2013T1;36,82
Tasa global de empleo;2012T4;37,45
Tasa global de empleo;2012T3;38,15
Tasa global de empleo;2012T2;38,33
Tasa global de empleo;2012T1;38,32
Tasa global de empleo;2011T4;39,14
Tasa global de empleo;2011T3;39,90
Tasa global de empleo;2011T2;40,24
Tasa global de empleo;2011T1;39,84
Tasa global de empleo;2010T4;40,40
Tasa global de empleo;2010T3;40,77
Tasa global de empleo;2010T2;40,66
Tasa global de empleo;2010T1;40,47
Tasa global de empleo;2009T4;41,01
Tasa global de empleo;2009T3;41,52
Tasa global de empleo;2009T2;41,70
Tasa global de empleo;2009T1;42,04
Tasa global de empleo;2008T4;43,79
Tasa global de empleo;2008T3;45,02
Tasa global de empleo;2008T2;45,36
Tasa global de empleo;2008T1;45,45
Tasa global de empleo;2007T4;45,82
Tasa global de empleo;2007T3;46,14
Tasa global de empleo;2007T2;45,98
Tasa global de empleo;2007T1;45,49
Tasa global de empleo;2006T4;45,55
Tasa global de empleo;2006T3;45,55
Tasa global de empleo;2006T2;45,30
Tasa global de empleo;2006T1;44,76
Tasa global de empleo;2005T4;44,75
Tasa global de empleo;2005T3;44,74
Tasa global de empleo;2005T2;44,30
Tasa global de empleo;2005T1;43,51
Tasa global de empleo;2004T4;43,13
Tasa global de empleo;2004T3;42,89
Tasa global de empleo;2004T2;42,43
Tasa global de empleo;2004T1;42,00
Tasa global de empleo;2003T4;42,06
Tasa global de empleo;2003T3;42,02
Tasa global de empleo;2003T2;41,66
Tasa global de empleo;2003T1;41,05
Tasa global de empleo;2002T4;40,98
Tasa global de empleo;2002T3;41,01
Tasa global de empleo;2002T2;40,83
Tasa global de empleo;2002T1;40,32
